↓↓↓↓↓        TEST1        ↓↓↓↓↓ −− >NOTFOUND

Amott Quality Meats --> Census year: 2018 || Block ID: 113 || Property ID: 110689 || Base property ID: 108118 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4121 || Industry (ANZSIC4) description: Fresh Meat, Fish and Poultry Retailing || x coordinate: 144.95767 || y coordinate: -37.80762 || Location: (-37.80762482, 144.9576703) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96118 || y coordinate: -37.81538 || Location: (-37.81537944, 144.9611759) || 
Vacant --> Census year: 2018 || Block ID: 74 || Property ID: 108103 || Base property ID: 108103 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95996 || y coordinate: -37.81269 || Location: (-37.81268993, 144.959964) || 
Vacant --> Census year: 2018 || Block ID: 16 || Property ID: 104018 || Base property ID: 104018 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96854 || y coordinate: -37.8166 || Location: (-37.81660267, 144.9685353) || 
Vacant --> Census year: 2018 || Block ID: 36 || Property ID: 102153 || Base property ID: 102153 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96815 || y coordinate: -37.81464 || Location: (-37.81464243, 144.9681544) || 
Vacant --> Census year: 2018 || Block ID: 14 || Property ID: 103946 || Base property ID: 103946 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96385 || y coordinate: -37.81764 || Location: (-37.81763876, 144.9638509) || 
Vacant --> Census year: 2018 || Block ID: 66 || Property ID: 105878 || Base property ID: 105878 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96559 || y coordinate: -37.81214 || Location: (-37.81214275, 144.9655866) || 
Vacant --> Census year: 2018 || Block ID: 34 || Property ID: 105929 || Base property ID: 105929 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9633 || y coordinate: -37.81557 || Location: (-37.81556658, 144.9633005) || 
Vacant --> Census year: 2018 || Block ID: 34 || Property ID: 103177 || Base property ID: 103177 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96345 || y coordinate: -37.81582 || Location: (-37.81582214, 144.9634518) || 
Vacant --> Census year: 2018 || Block ID: 55 || Property ID: 105840 || Base property ID: 105840 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96465 || y coordinate: -37.8129 || Location: (-37.81289592, 144.9646491) || 
Vacant --> Census year: 2018 || Block ID: 14 || Property ID: 104005 || Base property ID: 104005 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96329 || y coordinate: -37.81839 || Location: (-37.81838929, 144.9632936) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 597186 || Base property ID: 101146 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96292 || y coordinate: -37.81492 || Location: (-37.8149247, 144.9629215) || 
Vacant --> Census year: 2018 || Block ID: 45 || Property ID: 101145 || Base property ID: 101145 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96366 || y coordinate: -37.81443 || Location: (-37.81443332, 144.9636607) || 
Vacant --> Census year: 2018 || Block ID: 45 || Property ID: 105961 || Base property ID: 105961 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96435 || y coordinate: -37.81474 || Location: (-37.81473585, 144.9643479) || 
Vacant --> Census year: 2018 || Block ID: 74 || Property ID: 105738 || Base property ID: 105738 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96053 || y coordinate: -37.81241 || Location: (-37.81240779, 144.9605307) || 
Vacant --> Census year: 2018 || Block ID: 54 || Property ID: 105848 || Base property ID: 105848 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9616 || y coordinate: -37.81379 || Location: (-37.81379461, 144.9615985) || 
Vacant --> Census year: 2018 || Block ID: 56 || Property ID: 101208 || Base property ID: 101208 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96779 || y coordinate: -37.81265 || Location: (-37.812647, 144.9677865) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108111 || Base property ID: 108111 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9613 || y coordinate: -37.81565 || Location: (-37.81565407, 144.9612981) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108111 || Base property ID: 108111 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.9613 || y coordinate: -37.81565 || Location: (-37.81565407, 144.9612981) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96118 || y coordinate: -37.81538 || Location: (-37.81537944, 144.9611759) || 
Vacant --> Census year: 2018 || Block ID: 44 || Property ID: 108110 || Base property ID: 108110 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96118 || y coordinate: -37.81538 || Location: (-37.81537944, 144.9611759) || 
Vacant --> Census year: 2018 || Block ID: 45 || Property ID: 105961 || Base property ID: 105961 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96435 || y coordinate: -37.81474 || Location: (-37.81473585, 144.9643479) || 
Vacant --> Census year: 2018 || Block ID: 46 || Property ID: 105962 || Base property ID: 105962 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96678 || y coordinate: -37.81413 || Location: (-37.81413147, 144.9667753) || 
Vacant --> Census year: 2018 || Block ID: 54 || Property ID: 105847 || Base property ID: 105847 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96173 || y coordinate: -37.81376 || Location: (-37.81376219, 144.9617274) || 
Vacant --> Census year: 2018 || Block ID: 54 || Property ID: 105843 || Base property ID: 105843 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.96217 || y coordinate: -37.81353 || Location: (-37.8135324, 144.9621709) || 
Vacant --> Census year: 2018 || Block ID: 93 || Property ID: 108082 || Base property ID: 108082 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95831 || y coordinate: -37.81044 || Location: (-37.81043684, 144.9583118) || 
Vacant --> Census year: 2018 || Block ID: 52 || Property ID: 5885 || Base property ID: 101173 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.95676 || y coordinate: -37.81551 || Location: (-37.81550948, 144.9567556) || 
